time,gpu_index,gpu_name,gpu_util_percent,mem_util_percent,mem_used_mb,mem_total_mb,temp_c,power_w
2026-05-06 10:06:45,2026/05/06 10:06:45.521, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 5, 410, 8188, 42, 2.01
2026-05-06 10:06:46,2026/05/06 10:06:46.593, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 5, 410, 8188, 42, 2.18
2026-05-06 10:06:47,2026/05/06 10:06:47.666, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 1, 5, 410, 8188, 43, 2.74
2026-05-06 10:06:48,2026/05/06 10:06:48.722, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 14, 410, 8188, 42, 1.86
2026-05-06 10:06:52,2026/05/06 10:06:52.930, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 10, 410, 8188, 42, 1.86
2026-05-06 10:06:53,2026/05/06 10:06:53.978, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 5, 410, 8188, 42, 1.88
2026-05-06 10:06:55,2026/05/06 10:06:55.033, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 5, 410, 8188, 42, 2.13
2026-05-06 10:06:56,2026/05/06 10:06:56.091, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 13, 410, 8188, 42, 1.82
2026-05-06 10:06:57,2026/05/06 10:06:57.156, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 14, 410, 8188, 42, 2.04
2026-05-06 10:06:58,2026/05/06 10:06:58.217, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 6, 410, 8188, 42, 2.67
2026-05-06 10:06:59,2026/05/06 10:06:59.277, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 9, 410, 8188, 42, 3.13
2026-05-06 10:07:00,2026/05/06 10:07:00.336, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 21, 410, 8188, 42, 1.82
2026-05-06 10:07:01,2026/05/06 10:07:01.396, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 11, 410, 8188, 42, 2.14
2026-05-06 10:07:02,2026/05/06 10:07:02.457, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 9, 410, 8188, 42, 2.34
2026-05-06 10:07:03,2026/05/06 10:07:03.512, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 12, 410, 8188, 42, 1.94
2026-05-06 10:07:04,2026/05/06 10:07:04.574, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 5, 410, 8188, 42, 1.85
2026-05-06 10:07:05,2026/05/06 10:07:05.630, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 5, 410, 8188, 42, 1.84
2026-05-06 10:07:06,2026/05/06 10:07:06.681, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 5, 410, 8188, 42, 1.88
2026-05-06 10:07:07,2026/05/06 10:07:07.746, 0, NVIDIA GeForce RTX 4060 Laptop GPU, 0, 5, 410, 8188, 42, 2.83
